セクション,セクション_ja,項目,項目_ja,2026年モデル 240Max Huawei 乾崑 ADS SE版,2026年モデル 240Ultra Huawei 乾崑 ADS SE版,2026年モデル 550Max Huawei 乾崑 ADS SE版,2026年モデル 550Ultra Huawei 乾崑 ADS SE版,2026年モデル 660Max Huawei 乾崑 ADS SE版,2026年モデル 660Ultra Huawei 乾崑 ADS SE版,2025年モデル 230Max 深藍智駕 AD PRO 増程版,2025年モデル 530Max 深藍智駕 AD PRO 純電版,2025年モデル 230Ultra 深藍智駕 AD PRO 増程版,2025年モデル 530Ultra 深藍智駕 AD PRO 純電版,2025年モデル 300Max 深藍智駕 AD PRO 増程版,2025年モデル 300Ultra 深藍智駕 AD PRO 増程版,2025年モデル 230Ultra 乾崑智駕 ADS SE 増程版,2025年モデル 530Ultra 乾崑智駕 ADS SE 純電版,2025年モデル 300Ultra 乾崑智駕 ADS SE 増程版
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 自動防眩ミラー,● 自動防眩ミラー,● 手動防眩ミラー,● 自動防眩ミラー,● 自動防眩ミラー,● 自動防眩ミラー,● 自動防眩ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ（運転席のみ）
● マッサージ（助手席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,"● 運転席
● 助手席",● 運転席,"● 運転席
● 助手席",● 運転席,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,●,-,●,-,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,零重力座椅,ゼログラビティシート,-,"○ 運転席
● 助手席",-,"○ 運転席
● 助手席",-,"○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席"
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席なし,前席●／後席●,前席●／後席なし,前席●／後席●,前席●／後席なし,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,-,●,-,●,-,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 20スピーカー,● 8スピーカー,● 20スピーカー,● 8スピーカー,● 20スピーカー,● 8スピーカー,● 8スピーカー,● 22スピーカー,● 22スピーカー,● 8スピーカー,● 22スピーカー,● 22スピーカー,● 22スピーカー,● 22スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),-,●,-,●,-,●,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 64色,-,● 64色,-,● 64色,-,-,● 64色,● 64色,-,● 64色,● 64色,● 64色,● 64色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,●,-,●,-,●,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,●,●,●,●,-,●,-,●,-,-,-,●,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,●,-,●,-,●,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内香り装置,-,○,-,○,-,○,-,-,●,●,-,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,品质智享座舱包,プレミアムスマートキャビンパッケージ,○ オプション（7299元）,○ オプション（7299元）,○ オプション（7299元）,○ オプション（7299元）,○ オプション（7299元）,○ オプション（7299元）,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,主驾云感舒享零重力座椅,運転席クラウド感覚快適ゼログラビティシート,-,-,-,-,-,-,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）
选装包,オプションパッケージ,炫影驾享外观套件,シャドウドライブエクステリアキット,-,-,-,-,-,-,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）
