セクション,セクション_ja,項目,項目_ja,2026年モデル 9X 2.0T 自動2WD 豪華型,2026年モデル 9X 2.0T 自動2WD 尊貴型,2026年モデル 9X 2.0T 自動2WD 先導型,2026年モデル 2.0T デュアルクラッチ2WD 快適版,2026年モデル 2.0T デュアルクラッチ2WD 豪華版,2026年モデル 2.0T 自動2WD 輝享版,2026年モデル 2.0T 自動4WD 至高版,2026年モデル 2.0T 自動4WD 旗艦版,2025年モデル 2.0T デュアルクラッチ2WD 快適版 5人乗り,2025年モデル 2.0T デュアルクラッチ2WD 快適版 7人乗り,2025年モデル 2.0T デュアルクラッチ2WD 豪華版 5人乗り,2025年モデル 2.0T デュアルクラッチ2WD 豪華版 7人乗り,2025年モデル 2.0T 自動2WD 尊享版 5人乗り,2025年モデル 2.0T 自動2WD 尊享版 7人乗り,2025年モデル 2.0T 自動4WD 至高版 5人乗り,2025年モデル 2.0T 自動4WD 至高版 7人乗り,2025年モデル 2.0T 自動4WD 旗艦版 5人乗り,2025年モデル 2.0T 自動4WD 旗艦版 7人乗り,2025年モデル 2.0T デュアルクラッチ2WD ブラックウォリアー版 5人乗り,2027年モデル 2.0T 自動4WD上級グレード
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索",-
互联/智能化,互联/智能化,主动降噪,アクティブノイズキャンセリング,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,-,-,-,-,● 50インチ,-,-,-,-,-,-,-,-,● 50インチ,● 50インチ,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ポート,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 合成皮革,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整",-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）",● シートヒーター,"● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）",● シートヒーター,● シートヒーター,"● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション",-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,-,● 運転席,● 運転席,● 運転席,● 運転席,-,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"○ 前後調整
● 背もたれ調整","○ 前後調整
● 背もたれ調整","○ 前後調整
● 背もたれ調整","○ 前後調整
● 背もたれ調整","○ 前後調整
● 背もたれ調整","○ 前後調整
● 背もたれ調整","○ 前後調整
● 背もたれ調整","○ 前後調整
● 背もたれ調整",● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,-
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,-,-,○ シートヒーター,● シートヒーター,-,-,-,-,-,-,-,-,● シートヒーター,● シートヒーター,● シートヒーター,-
座椅配置,シート装備,第三排座椅调节,3列目シート調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,○ 背もたれ調整,-,● 背もたれ調整,-,● 背もたれ調整,-,● 背もたれ調整,-,● 背もたれ調整,-,● 背もたれ調整,-,-
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,-,-,○,-,-,-,-,○,-,-,-,-,-,-,-,-,-,●,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,○ 2-3-2（シート配列）,○ 2-3-2（シート配列）,○ 2-3-2（シート配列）,○ 2-3-2（シート配列）,○ 2-3-2（シート配列）,○ 2-3-2（シート配列）,○ 2-3-2（シート配列）,○ 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 14スピーカー,● 14スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 8スピーカー,● 14スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 14スピーカー,● 14スピーカー,● 8スピーカー,-
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色表示,● 多色表示,● 多色表示,-,● 256色表示,● 256色表示,● 256色表示,● 256色表示,-,-,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 256色表示,-
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,豪华型5座四驱选装包,ラグジュアリー5人乗り4WDオプションパッケージ,"○ オプション（15,000元）",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,舒享七座包,快適7人乗りパッケージ,-,-,-,"○ オプション（4,000元）","○ オプション（4,000元）","○ オプション（4,000元）",-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,豪华七座包,ラグジュアリー7人乗りパッケージ,-,-,-,-,-,-,"○ オプション（5,000元）",-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,旗舰七座包,フラッグシップ7人乗りパッケージ,-,-,-,-,-,-,-,"○ オプション（6,000元）",-,-,-,-,-,-,-,-,-,-,-,-
