セクション,項目,岚图梦想家 2027款 PHEV 冠军版,岚图梦想家 2026款 PHEV 鲲鹏Pro,岚图梦想家 2026款 PHEV 鲲鹏Max,岚图梦想家 2026款 PHEV 乾崑Pro,岚图梦想家 2026款 PHEV 乾崑Max,岚图梦想家 2026款 PHEV 乾崑Ultra,岚图梦想家 2026款 PHEV 典藏版,岚图梦想家 2026款 PHEV 山河四座版,岚图梦想家 2026款 EV 鲲鹏Max,岚图梦想家 2026款 EV 乾崑Max,岚图梦想家 2026款 EV 乾崑Ultra,岚图梦想家 2025款 PHEV 四驱卓越鲲鹏版,岚图梦想家 2025款 PHEV 四驱卓越乾崑版,岚图梦想家 2025款 PHEV 四驱尊贵鲲鹏版,岚图梦想家 2025款 PHEV 四驱旗舰鲲鹏版,岚图梦想家 2025款 PHEV 超长续航世纪版,岚图梦想家 2025款 领航系列 PHEV 超长续航 舒享版,岚图梦想家 2025款 领航系列 PHEV 超长续航 尊享版,岚图梦想家 2025款 EV 长续航世纪版,岚图梦想家 2025款 EV 四驱卓越鲲鹏版,岚图梦想家 2025款 EV 四驱卓越乾崑版,岚图梦想家 2025款 领航系列 EV 超长续航 豪华版,岚图梦想家 2025款 领航系列 EV 超长续航 舒享版,岚图梦想家 2024款 PHEV 超长续航卓越版,岚图梦想家 2024款 PHEV 超长续航尊贵版,岚图梦想家 2024款 EV 长续航卓越版,岚图梦想家 2024款 EV 长续航尊贵版,岚图梦想家 2024款 EV 超长续航卓越版,岚图梦想家 2024款 EV 超长续航尊贵版,岚图梦想家 2024款 EV 超长续航旗舰版,岚图梦想家 2026款 梦想家9 EV 基本型,岚图梦想家 2026款 梦想家9 PHEV 基本型
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-,-
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 单目,● 双目,● 单目,● 单目,-,● 单目,● 单目,-,● 单目,● 双目,-,● 单目,-,● 单目,-,● 单目,-,● 单目,● 单目,-,-
驾驶硬件,摄像头数量,● 11个,● 7个,● 7个,● 11个,● 11个,● 11个,● 11个,● 11个,● 7个,● 11个,● 11个,● 5个,● 11个,● 5个,● 5个,● 4个,● 5个,● 6个,● 4个,● 5个,● 11个,● 4个,● 5个,● 5个,● 6个,● 5个,● 6个,● 5个,● 6个,● 6个,-,-
驾驶硬件,车内摄像头数量,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 1个,● 1个,● 2个,● 2个,-,● 2个,● 2个,-,● 1个,● 1个,● 2个,● 2个,● 2个,● 2个,-,● 2个,-,● 2个,● 2个,-,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 8个,● 8个,● 12个,● 8个,● 12个,● 12个,● 8个,● 8个,● 8个,● 12个,● 8个,● 12个,● 8个,● 12个,● 12个,-,-
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 5个,● 3个,● 5个,● 5个,-,-,● 5个,-,● 5个,● 3个,-,-,-,● 5个,-,● 5个,-,● 5个,● 5个,-,-
驾驶硬件,激光雷达品牌,● HUAWEI华为,-,-,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,-,● HUAWEI华为,● HUAWEI华为,-,● HUAWEI华为,-,-,-,-,-,-,-,● HUAWEI华为,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,激光雷达数量,● 1个,-,-,● 1个,● 1个,● 1个,● 1个,● 1个,-,● 1个,● 1个,-,● 1个,-,-,-,-,-,-,-,● 1个,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,激光雷达线数,● 192线,-,-,● 192线,● 192线,● 192线,● 192线,● 192线,-,● 192线,● 192线,-,● 192线,-,-,-,-,-,-,-,● 192线,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,-
驾驶功能,辅助驾驶系统,● 华为乾崑智驾ADS,● 岚图鲲鹏智驾,● 岚图鲲鹏智驾,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 岚图鲲鹏智驾,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 岚图鲲鹏智驾,● 华为乾崑智驾ADS,● 岚图鲲鹏智驾,● 岚图鲲鹏智驾,-,-,-,-,● 岚图鲲鹏智驾,● 华为乾崑智驾ADS,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,-,● L2,-,● L2,● L2,-,-,-,● L2,-,● L2,-,● L2,● L2,-,-
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,地图品牌,● 华为Petal,● 百度,● 百度,● 华为Petal,● 华为Petal,● 华为Petal,● 华为Petal,● 华为Petal,● 百度,● 华为Petal,● 华为Petal,● 百度,● 华为Petal,● 百度,● 百度,-,● 百度,● 百度,-,● 百度,● 华为Petal,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,-,-
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,记忆泊车,○,-,-,○,○,○,○,○,-,○,○,-,○,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,循迹倒车,●,-,-,●,●,●,●,●,-,●,●,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●,●,●,●,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●,●,●,●,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,远程召唤,○,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●,●,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,起步提醒,○,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶路段,"○ 城市路段
● 高速路段",● 高速路段,● 高速路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段",● 高速路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段",-,"○ 城市路段
● 高速路段",-,-,-,-,-,-,-,"○ 城市路段
● 高速路段",-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-,-
外观/防盗,电动吸合车门,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,侧滑门形式,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,-,-
外观/防盗,投影感应开启,● 后备厢,● 后备厢,● 后备厢,● 后备厢,● 后备厢,● 后备厢,● 后备厢,● 后备厢,● 后备厢,● 后备厢,● 后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,感应后备厢,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",-,-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,-,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,场景灯语,-,-,-,-,-,●,●,●,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,辅助驾驶灯,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 不可开启全景天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",● 前排,● 全车,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",● 前排,● 前排,● 前排,● 全车,● 前排,● 全车,● 前排,● 全车,● 全车,-,-
天窗/玻璃,后排侧窗遮阳帘,● 电动,● 电动,● 电动,● 电动,● 电动,● 电动,● 电动,● 电动,● 电动,● 电动,● 电动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,后风挡遮阳帘,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",-,-
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",-,-
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.4英寸,● 15.4英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.4英寸,● 15.6英寸,● 15.6英寸,● 15.4英寸,● 15.6英寸,● 15.4英寸,● 15.4英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 15.4英寸,● 15.6英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,-,-
互联/智能化,中控屏幕分辨率,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 1920x720,● 1920x720,-,-,-,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,-,-
互联/智能化,中控屏幕像素密度,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 167PPI,● 167PPI,-,-,-,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,-,-
互联/智能化,副驾娱乐屏尺寸,-,● 15.4英寸,● 15.4英寸,-,-,-,-,-,● 15.4英寸,-,-,● 15.4英寸,-,● 15.4英寸,● 15.4英寸,-,● 12.3英寸,● 12.3英寸,-,● 15.4英寸,-,-,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,-,-
互联/智能化,副驾屏幕分辨率,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 1920x720,● 1920x720,-,-,-,-,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,-,-
互联/智能化,副驾屏幕像素密度,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 167PPI,● 167PPI,-,-,-,-,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,-,-
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
