セクション,セクション_ja,項目,項目_ja,2027年モデル PHEV チャンピオン版,2026年モデル PHEV 鯤鵬Pro,2026年モデル PHEV 鯤鵬Max,2026年モデル PHEV 乾崑Pro,2026年モデル PHEV 乾崑Max,2026年モデル PHEV 乾崑Ultra,2026年モデル PHEV 典蔵版,2026年モデル PHEV 山河4人乗り版,2026年モデル EV 鯤鵬Max,2026年モデル EV 乾崑Max,2026年モデル EV 乾崑Ultra,2025年モデル PHEV 4WD 卓越鯤鵬版,2025年モデル PHEV 4WD 卓越乾崑版,2025年モデル PHEV 4WD 尊貴鯤鵬版,2025年モデル PHEV 4WD 旗艦鯤鵬版,2025年モデル PHEV 超長航続世紀版,2025年モデル 先導シリーズ PHEV 超長航続 快適版,2025年モデル 先導シリーズ PHEV 超長航続 尊享版,2025年モデル EV 長航続世紀版,2025年モデル EV 4WD 卓越鯤鵬版,2025年モデル EV 4WD 卓越乾崑版,2025年モデル 先導シリーズ EV 超長航続 豪華版,2025年モデル 先導シリーズ EV 超長航続 快適版,2024年モデル PHEV 超長航続 卓越版,2024年モデル PHEV 超長距離プレミアム版,2024年モデル EV 長距離エクセレント版,2024年モデル EV 長距離プレミアム版,2024年モデル EV 超長距離エクセレント版,2024年モデル EV 超長距離プレミアム版,2024年モデル EV 超長距離フラッグシップ版,2026年モデル 夢想家9 EV 基本型,2026年モデル 夢想家9 PHEV 基本型
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,-,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,前 ● / 後 ●,前 ● / 後 ●,-,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,-,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,"● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席",● 車両全体,"● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席","● 前席
● 2列目席",-,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ",-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,-,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",-,-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,-,-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,-
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,-,-,-,●,●,●,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,-,-,-,-,-,● 単室式,● 単室式,● 単室式,-,-,● 単室式,-,-,-,● 単室式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,-,-,-,-,-,●,●,●,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
驾驶操控,ドライビングコントロール,整体主动转向系统,全体アクティブステアリングシステム,-,-,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,-,-
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● モノカメラ,● ステレオカメラ,● モノカメラ,● モノカメラ,-,● モノカメラ,● モノカメラ,-,● モノカメラ,● ステレオカメラ,-,● モノカメラ,-,● モノカメラ,-,● モノカメラ,-,● モノカメラ,● モノカメラ,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 7個,● 7個,● 11個,● 11個,● 11個,● 11個,● 11個,● 7個,● 11個,● 11個,● 5個,● 11個,● 5個,● 5個,● 4個,● 5個,● 6個,● 4個,● 5個,● 11個,● 4個,● 5個,● 5個,● 6個,● 5個,● 6個,● 5個,● 6個,● 6個,-,-
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 1個,● 1個,● 2個,● 2個,-,● 2個,● 2個,-,● 1個,● 1個,● 2個,● 2個,● 2個,● 2個,-,● 2個,-,● 2個,● 2個,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 8個,● 8個,● 12個,● 8個,● 12個,● 12個,● 8個,● 8個,● 8個,● 12個,● 8個,● 12個,● 8個,● 12個,● 12個,-,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 5個,● 3個,● 5個,● 5個,-,-,● 5個,-,● 5個,● 3個,-,-,-,● 5個,-,● 5個,-,● 5個,● 5個,-,-
驾驶硬件,運転ハードウェア,激光雷达品牌,ライダー（LiDAR）ブランド,● HUAWEI（ファーウェイ）,-,-,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,-,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,-,● HUAWEI（ファーウェイ）,-,-,-,-,-,-,-,● HUAWEI（ファーウェイ）,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,● 1個,-,-,● 1個,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,-,● 1個,-,-,-,-,-,-,-,● 1個,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーライン数,● 192ライン,-,-,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,-,● 192ライン,● 192ライン,-,● 192ライン,-,-,-,-,-,-,-,● 192ライン,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 定速クルーズ,● 定速クルーズ,● 全速度域自動追従クルーズ,● 定速クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 定速クルーズ,● 定速クルーズ,● 定速クルーズ,● 全速度域自動追従クルーズ,● 定速クルーズ,● 全速度域自動追従クルーズ,● 定速クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,-,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● ファーウェイ乾崑知能運転ADS,● ラントゥ・クンペン知能運転,● ラントゥ・クンペン知能運転,● ファーウェイ乾崑知能運転ADS,● ファーウェイ乾崑知能運転ADS,● ファーウェイ乾崑知能運転ADS,● ファーウェイ乾崑知能運転ADS,● ファーウェイ乾崑知能運転ADS,● ラントゥ・クンペン知能運転,● ファーウェイ乾崑知能運転ADS,● ファーウェイ乾崑知能運転ADS,● ラントゥ・クンペン知能運転,● ファーウェイ乾崑知能運転ADS,● ラントゥ・クンペン知能運転,● ラントゥ・クンペン知能運転,-,-,-,-,● ラントゥ・クンペン知能運転,● ファーウェイ乾崑知能運転ADS,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,-,● レベル2,-,● レベル2,● レベル2,-,-,-,● レベル2,-,● レベル2,-,● レベル2,● レベル2,-,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ路況情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
驾驶功能,運転機能,地图品牌,地図ブランド,● ファーウェイPetal,● バイドゥ,● バイドゥ,● ファーウェイPetal,● ファーウェイPetal,● ファーウェイPetal,● ファーウェイPetal,● ファーウェイPetal,● バイドゥ,● ファーウェイPetal,● ファーウェイPetal,● バイドゥ,● ファーウェイPetal,● バイドゥ,● バイドゥ,-,● バイドゥ,● バイドゥ,-,● バイドゥ,● ファーウェイPetal,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,運転機能,记忆泊车,メモリー駐車,○,-,-,○,○,○,○,○,-,○,○,-,○,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,-,-,●,●,●,●,●,-,●,●,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,●,●,●,●,●,●,●,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●,●,●,●,●,●,●,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,远程召唤,リモート召喚,○,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●,●,●,●,●,●,-,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,起步提醒,発進リマインダー,○,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,"○ 市街地区間
● 高速道路区間",● 高速道路区間,● 高速道路区間,"○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間",● 高速道路区間,"○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間",-,"○ 市街地区間
● 高速道路区間",-,-,-,-,-,-,-,"○ 市街地区間
● 高速道路区間",-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-,-
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,-,-
外观/防盗,エクステリア・盗難防止,投影感应开启,プロジェクション感応開閉,● トランク,● トランク,● トランク,● トランク,● トランク,● トランク,● トランク,● トランク,● トランク,● トランク,● トランク,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",-,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,-,-
