セクション,セクション_ja,項目,項目_ja,2026年モデル 530km AIRエリート版,2026年モデル 雅宇版,2026年モデル 540km エリート版,2026年モデル 540km エリート4エアバッグ版,2026年モデル 530 越享型,2026年モデル 530 尊享型,2026年モデル 530km AIR,2025年モデル 110 長距離快適型,2025年モデル 205 超長距離快適型,2025年モデル 205 超長距離プレミアム型,2025年モデル 205 超長距離ラグジュアリー型,2025年モデル 430 ライト快適型,2025年モデル 430 快適型,2025年モデル 430 快適＋型,2025年モデル 518 快適型,2025年モデル 518 快適型 チャンピオン版,2025年モデル 430 快適型 エクセレント版,2025年モデル 518 風捷版,2025年モデル 518 プレミアム型,2025年モデル 518 プレミアム型 チャンピオン版,2025年モデル 改良版 518 エグゼクティブ版,2024年モデル 205 睿驰版,2024年モデル 205 臻享版,2024年モデル 518 フラッグシップ版,2024年モデル 110 Pro,2024年モデル 205 Air,2024年モデル 205 Pro,2024年モデル 205 Plus,2024年モデル 518 Air,2024年モデル 518 Pro
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● 標準／快適,"● スポーツ
● エコ
● 標準／快適",● 標準／快適,● 標準／快適,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適",● 標準／快適,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,前-/後 ●,-,-,前-/後 ●,前-/後 ●,-,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●,前-/後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● 360度全方位カメラ,● バックカメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,● バックカメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,●,-,-,●,●,-,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,-,-,● 単眼,● 単眼,-,-,-,● 単眼,● 単眼,-,-,-,-,-,-,-,-,-,-,● 単眼,● 単眼,-,● 単眼,-,● 単眼,● 単眼,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 1個,● 4個,● 1個,● 1個,● 5個,● 5個,● 1個,● 1個,● 1個,● 5個,● 5個,● 1個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 5個,● 5個,● 4個,● 5個,● 4個,● 5個,● 5個,● 4個,● 4個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,-,-,-,-,-,-,-,-,-,● 200万画素,● 200万画素,-,-,-,-,-,-,-,-,-,-,● 200万画素,● 200万画素,-,● 200万画素,-,● 200万画素,● 200万画素,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,-,● 4個,-,-,● 4個,● 4個,-,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,-,-,-,-,-,-,-,-,-,● 2個,● 2個,-,-,-,-,-,-,-,-,-,-,● 2個,● 2個,-,-,-,-,● 2個,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,● クルーズコントロール,-,-,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,-,● レベル2,● レベル2,-,-,-,● レベル2,● レベル2,-,-,-,-,-,-,-,-,-,-,● レベル2,● レベル2,-,● レベル2,-,● レベル2,● レベル2,-,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,○,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,● 高徳（Gaode）,-,-,● 高徳（Gaode）,● 高徳（Gaode）,-,● 百度（Baidu）,● 百度（Baidu）,● 高徳（Gaode）,● 高徳（Gaode）,● 百度（Baidu）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,-,●,●,-,-
驾驶功能,運転機能,车道居中保持,車線中央維持,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,-,●,●,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● スポーティスタイル,● スポーティスタイル,-,-,● スポーティスタイル,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,-,-,-,●,-,-,-,-,●,-,○,○,●,●,○,●,●,●,●,-,●,○,○,-,-,○,○,○
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,-,-,-,●,-,-,-,-,●,-,○,○,●,●,○,●,●,●,●,-,●,○,○,-,-,○,○,○
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,"● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,-,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,-,●,●,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,● 開閉式パノラマサンルーフ,-,-,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,-,-,-,-,-,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン機能,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,-,"● 運転席
● 助手席",-,-,"● 運転席
● 助手席","● 運転席
● 助手席",-,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納",● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,-,● 14.6インチ,● 12.5インチ,● 12.5インチ,● 14.6インチ,● 14.6インチ,-,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,-,● 1920×1080,-,-,● 1920×1080,● 1920×1080,-,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,●,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ",●,●,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ",●,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,-,● こんにちは、風神,-,-,● こんにちは、風神,● こんにちは、風神,-,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神,● こんにちは、風神
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,ノーウェイクワード音声認識,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,-,● デュアルゾーン,-,-,● デュアルゾーン,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,連続音声認識機能,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,-,●,-,-,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,-,● WindLink OS,-,-,● WindLink OS,● WindLink OS,-,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS,● WindLink OS
