セクション,項目,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 9座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 7座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 8座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 9座 CNG,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 7座,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 9座,锐胜王牌M7 2026款 2.0L 宿营车 美途版 5座,锐胜王牌M7 2026款 2.0L 宿营车 轻旅版 5座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 改款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L CNG基本版 2座,锐胜王牌M7 2025款 2.0L CNG舒适型 6座,锐胜王牌M7 2025款 2.0L CNG舒适型 7座,锐胜王牌M7 2025款 2.0L CNG精英版 7座,锐胜王牌M7 2025款 2.0L CNG精英版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 8座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 9座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 9座,锐胜王牌M7 2025款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2025款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 8座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴盲窗基本型 2座,锐胜王牌M7 2025款 2.0L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 8/9座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 7座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 7座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 9座,锐胜王牌M7 2025款 2.0L 自动长轴至尊版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运尊贵版 7座,锐胜王牌M7 2024款 1.6L 长轴创富型 6座,锐胜王牌M7 2024款 1.6L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴创享型 9座,锐胜王牌M7 2024款 2.0L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴豪华营运版 9座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 7座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 9座,锐胜王牌M7 2024款 2.0L 长轴至尊版 7座,锐胜王牌M7 2023款 1.6L 标轴创富型 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 9座,锐胜王牌M7 2023款 1.6L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L CNG长轴豪华营运版 9座联排座椅
变速箱,变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 鼓式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 盘式
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 205/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16
车轮制动,后轮胎规格,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 205/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/65 R16,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 205/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16,● 215/65 R16
