セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T エクスプローラー ガソリン版,2024年モデル 2.0T シティハンター オナー版,2026年モデル 2.0T ガソリン 標準版,2026年モデル 2.0T ガソリン 上級版,2026年モデル 2.0T ガソリン エクセレント版,2026年モデル 2.0T ジャイアントスクリーン 標準版,2026年モデル 2.0T ジャイアントスクリーン 上級版,2026年モデル 2.0T 恒途版,2026年モデル 2.0D ディーゼル版,2026年モデル 2.0D エクスプローラー ディーゼル版,2026年モデル 2.0D ジャイアントスクリーン ディーゼル版,2026年モデル 2.0D ジャイアントスクリーン インテリジェントドライブ版,2024年モデル 2.0D ブレードヒーロー オナー版,2024年モデル 2.0T 新型シティハンター 先鋒型,2024年モデル 2.0T 新型ブレードヒーロー クライマー,2024年モデル 2.0T 新型シティハンター 侠客型,2024年モデル 2.0T 新型シティハンター 至尊型,2024年モデル 2.0T 新型シティハンター 上級型,2024年モデル 2.0T 新型環塔チャンピオン版,2024年モデル 2.0D 新型ブレードヒーロー トラベラー
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 10.25インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 10.25インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ
互联/智能化,互联/智能化,副驾娱乐屏尺寸,助手席エンターテインメント画面サイズ,-,-,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 12.8インチ,-,● 15.6インチ,● 15.6インチ,-,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● イーリアン",● 純正インターネット／ミラーリング,"● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン","● CarPlay対応
● イーリアン",●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン"
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● 北京,-,● 北京,● 北京,● 北京,● 北京,● 北京,● 北京,● 北京,● 北京,● 北京,● 北京,-,● 北京,● 北京,● 北京,● 北京,● 北京,● 北京,● 北京
互联/智能化,互联/智能化,语音免唤醒词,音声起動不要ワード,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,互联/智能化,语音连续识别,音声連続認識,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
互联/智能化,互联/智能化,应用商店,アプリストア,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
互联/智能化,互联/智能化,车机智能芯片,車載インテリジェントチップ,● Qualcomm Snapdragon 8155,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
互联/智能化,互联/智能化,车机系统内存(GB),車載システムメモリ(GB),● 16,-,-,-,-,● 16,● 16,● 16,-,● 16,● 16,● 16,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,车机系统存储(GB),車載システムストレージ(GB),● 128,-,-,-,-,● 128,● 128,● 128,-,● 128,● 128,● 128,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,多指飞屏操控,マルチタッチ画面操作,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,-,-,-
互联/智能化,互联/智能化,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し"
互联/智能化,互联/智能化,主动降噪,アクティブノイズキャンセリング,-,-,○,-,-,○,-,-,●,-,●,●,-,-,-,-,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合成皮革,● 合成皮革,"● 合成皮革
○ 本革",● 合成皮革,● 合成皮革,"● 合成皮革
○ 本革",● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 合成皮革,● 本革,● 合成皮革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整",● 手動上下＋前後調整,● 手動上下＋前後調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整",● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,○,-,-,○,-,-,-,-,-,-,-,-,-,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,○,-,-,○,-,-,-,-,-,-,-,-,-,-,●,-,●,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,"● 自動防眩目
○ デジタルインナーミラー",● 自動防眩目,● 手動防眩目,"● 手動防眩目
○ 自動防眩目
○ デジタルインナーミラー",● 手動防眩目,"● 自動防眩目
● デジタルインナーミラー",● 自動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,"● 自動防眩目
● デジタルインナーミラー",● 自動防眩目,"● 自動防眩目
● デジタルインナーミラー",● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● AUX","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● AUX","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席4個,● 前席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,-,-,● 前席,-,● 前席,-,-,-,-,-,-,-,● 前席,● 前席,● 前席,● 前席,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,-,-,● 50W,-,● 50W,-,-,-,-,-,-,-,● 50W,● 50W,● 50W,● 50W,-
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ソケット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,"○ 本革
● 合成皮革",● 合成皮革,● ファブリック,"○ 本革
● 合成皮革",● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革／ファブリックコンビ,● 本革／ファブリックコンビ,● 合成皮革,● 本革,● 合成皮革,● 合成皮革,● 本革／ファブリックコンビ
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● ／ 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● ／ 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● シートベンチレーション",-,"● シートヒーター
○ マッサージ機能",● シートヒーター,-,"● シートヒーター
● シートベンチレーション
○ マッサージ機能",● シートヒーター,"● シートヒーター
● シートベンチレーション",● シートヒーター,"● シートヒーター
● シートベンチレーション",● シートヒーター,● シートヒーター,-,-,-,"● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション
● マッサージ機能","● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション
● マッサージ機能",● シートヒーター
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 運転席,● 運転席,● 運転席,● 運転席,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,"○ インフィニティ
● パイオニア",● パイオニア,● パイオニア,"○ インフィニティ
● パイオニア",● パイオニア,● パイオニア,● パイオニア,-,● パイオニア,● パイオニア,-,● パイオニア,● パイオニア,● パイオニア,● インフィニティ,● パイオニア,● インフィニティ,● パイオニア
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,"● 10スピーカー
○ 12スピーカー",● 10スピーカー,● 4スピーカー,"● 10スピーカー
○ 12スピーカー",● 10スピーカー,● 10スピーカー,● 10スピーカー,● 6スピーカー,● 10スピーカー,● 10スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 10スピーカー,● 12スピーカー,● 10スピーカー,● 12スピーカー,● 10スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 単色,● 256色,● 単色,-,● 256色,● 単色,● 256色,● 単色,-,● 単色,● 単色,● 単色,● 単色,● 単色,● 256色,● 256色,● 256色,● 256色,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調整,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,-,-,-,-,-,-,-,●,-,-,●,-,-,-,●,-,●,-
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,舒享包,快適パッケージ,-,-,○ オプション（7000元）,-,-,○ オプション（7000元）,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,驾享包,ドライビングパッケージ,-,-,○ オプション（8000元）,-,-,○ オプション（8000元）,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,辅助驾驶包,運転支援パッケージ,-,-,-,○ オプション（2000元）,-,-,○ オプション（2000元）,-,○ オプション（2000元）,-,○ オプション（2000元）,○ オプション（2000元）,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,越野包,オフロードパッケージ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ オプション（15000元）,○ オプション（15000元）,-,-,-
选装包,オプションパッケージ,全地形轮胎,オールテレインタイヤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ オプション（2000元）,-
选装包,オプションパッケージ,智享包,スマートパッケージ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ オプション（8000元）,-
选装包,オプションパッケージ,智驾包1,スマートドライブパッケージ1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ オプション（3000元）
