セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Max 後輪駆動 37kWh（896ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 53kWh（896ラインレーザーレーダー）,2026年モデル 増程 Ultra 後輪駆動 53kWh（896ラインレーザーレーダー）,2026年モデル 純電 Max 後輪駆動 100kWh（896ラインレーザーレーダー）,2026年モデル 純電 Max 4WD 100kWh（896ラインレーザーレーダー）,2026年モデル 純電 Ultra 4WD 100kWh（896ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 37kWh（192ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 53kWh（192ラインレーザーレーダー）,2026年モデル 純電 Max 後輪駆動 100kWh（192ラインレーザーレーダー）,2026年モデル 増程 Ultra 後輪駆動 53kWh（192ラインレーザーレーダー）,2026年モデル 純電 Max 4WD 100kWh（192ラインレーザーレーダー）,2026年モデル 純電 Ultra 4WD 100kWh（192ラインレーザーレーダー）
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約"
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載カラオケ,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー"
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,"● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席","● 前席
○ 後席"
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
○ 高さ調整
○ 腰部調整
○ レッグレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ","● 加熱
● ベンチレーション
● マッサージ"
座椅配置,シート装備,后排小桌板,後部小テーブル,○,○,●,○,○,●,○,○,○,●,○,●
座椅配置,シート装備,零重力座椅,ゼログラビティシート,"● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）","● 助手席
○ 2列目（右側）（2.00万元）"
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン,● 1つのホーン
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,●,●,●,-,-,●,-,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,后排零重力座椅套装,後部ゼログラビティシートセット,"○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）"
选装包,オプションパッケージ,智能投影巨幕系统,スマートプロジェクション大画面システム,-,-,"○ オプション（20,000元）",-,-,"○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）","○ オプション（20,000元）"
