セクション,項目,星途ES 2025款 增程 Plus 舒适智享,星途ES 2025款 增程 Pro 高速辅助驾驶,星途ES 2025款 增程 Max 城区辅助驾驶,星途ES 2025款 增程 Ultra 四驱旗舰,星途ES 2025款 纯电 乐享版 64kWh,星途ES 2025款 纯电 尊享版 70kWh,星途ES 2025款 纯电 Pro 高速辅助驾驶,星途ES 2025款 纯电 Max 城区辅助驾驶,星途ES 2025款 纯电 Pro 77kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 77kWh,星途ES 2025款 纯电 Pro 100kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 100kWh,星途ES 2025款 纯电 至臻尊享版 77kWh,星途ES 2025款 纯电 富道版 77kWh,星途ES 2025款 纯电 Pro四驱 77kWh,星途ES 2025款 纯电 Pro四驱 100kWh,星途ES 2025款 纯电 Ultra四驱旗舰 城区辅助驾驶,星途ES 2025款 纯电 Ultra旗舰 100kWh,星途ES 2027款 纯电 860 Max激光雷达版,星途ES 2027款 增程 302 Max激光雷达版,星途ES 2027款 增程 255 Ultra四驱激光雷达版
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● LCD,● LCD,● LCD
互联/智能化,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,中控屏幕像素密度,● 188PPI,● 188PPI,● 188PPI,● 188PPI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 188PPI,● 188PPI,● 188PPI
互联/智能化,中控液晶屏分屏显示,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途,● 你好，星途
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 双区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,面部识别,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS
互联/智能化,车机智能芯片,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8295P,● 高通骁龙8155,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P
互联/智能化,后排液晶屏幕,-,-,●,●,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-,-,-
互联/智能化,后排液晶屏幕尺寸,-,-,-,-,-,-,-,-,-,● 6英寸,-,● 6英寸,-,-,-,-,-,● 6英寸,-,-,-
互联/智能化,后排多媒体屏幕数量,-,-,● 1个,● 1个,-,-,-,-,-,● 1个,-,● 1个,-,-,-,-,-,● 1个,-,-,-
互联/智能化,后排控制多媒体,-,-,●,●,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-,-,-
互联/智能化,车机系统内存(GB),● 24,● 24,● 24,● 24,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,-,-,-
互联/智能化,车机系统存储(GB),● 256,● 256,● 256,● 256,● 128,● 128,-,-,● 128,● 256,● 128,● 256,● 128,● 128,● 128,● 128,-,● 256,-,-,-
互联/智能化,多指飞屏操控,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 5G,● 5G,● 4G,● 4G,● 4G,● 5G,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G,● 5G,● 4G,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车内生物监测系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,车载KTV,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸,● 8.2英寸
方向盘/内后视镜,仪表盘屏幕材质,● LCD,● LCD,● LCD,● LCD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● LCD,● LCD,● LCD
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,-,-,●,●,●,●,-,-,●,●,●,●,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 真皮,● 真皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
