セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Plus 快適スマート,2025年モデル 増程 Pro 高速運転支援,2025年モデル 増程 Max 市街地運転支援,2025年モデル 増程 Ultra 4WD フラッグシップ,2025年モデル 純電 動楽版 64kWh,2025年モデル 純電 尊享版 70kWh,2025年モデル 純電 Pro 高速運転支援,2025年モデル 純電 Max 市街地運転支援,2025年モデル 純電 Pro 77kWh,2025年モデル 純電 Pro 市街地運転支援 77kWh,2025年モデル 純電 Pro 100kWh,2025年モデル 純電 Pro 市街地運転支援 100kWh,2025年モデル 純電 至高尊享版 77kWh,2025年モデル 純電 富道版 77kWh,2025年モデル 純電 Pro 4WD 77kWh,2025年モデル 純電 Pro 4WD 100kWh,2025年モデル 純電 Ultra 4WD フラッグシップ 市街地運転支援,2025年モデル 純電 Ultra フラッグシップ 100kWh,2027年モデル 純電 860 Maxレーザーレーダー版,2027年モデル 増程 302 Maxレーザーレーダー版,2027年モデル 増程 255 Ultra4WDレーザーレーダー版
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーライン数,-,-,● 126ライン,● 126ライン,-,-,-,● 126ライン,-,● 126ライン,-,● 126ライン,-,-,-,-,● 126ライン,● 126ライン,-,-,-
驾驶硬件,運転ハードウェア,激光雷达10%反射率探测距离,レーザーレーダー10%反射率検出距離,-,-,● 200m,● 200m,-,-,-,● 200m,-,● 200m,-,● 200m,-,-,-,-,● 200m,● 200m,-,-,-
驾驶硬件,運転ハードウェア,激光雷达点云数量,レーザーレーダーポイントクラウド数,-,-,● 150万回／秒,● 150万回／秒,-,-,-,● 150万回／秒,-,● 150万回／秒,-,● 150万回／秒,-,-,-,-,● 150万回／秒,● 150万回／秒,-,-,-
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検出距離,-,-,● 250m,● 250m,-,-,-,● 250m,-,● 250m,-,● 250m,-,-,-,-,● 250m,● 250m,-,-,-
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,-,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● EXEED NEP,● ハヤブサ700,● ハヤブサ700,● ハヤブサ700
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,高精地图,高精度地図,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック機能,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号認識,-,●,●,●,-,-,-,●,-,●,-,●,-,-,-,-,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,-,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,● 高速道路区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間",-,-,● 高速道路区間,"● 市街地区間
● 高速道路区間",● 高速道路区間,"● 市街地区間
● 高速道路区間",● 高速道路区間,"● 市街地区間
● 高速道路区間",-,-,● 高速道路区間,● 高速道路区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間"
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,-,-,● スポーティスタイル,● スポーティスタイル,-,-,-,-,-,-,-,-,● スポーティスタイル,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动扰流板,電動スポイラー,-,-,-,●,●,●,-,-,●,●,●,●,-,●,●,●,●,●,○,○,○
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● Bluetoothキー
● UWBデジタルキー
● NFC／RFIDキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト機能,-,●,●,●,-,-,-,-,●,●,●,●,-,●,●,●,●,●,○,○,○
车外灯光,外部照明,辅助驾驶灯,補助運転灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,-,-,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,-,-,-,-,-,-,-,-,●,●,●,●,-,●,●,●,-,●,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● LCD,● LCD,● LCD
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,コネクティビティ/スマート機能,中控屏幕像素密度,センターコンソール画素密度,● 188PPI,● 188PPI,● 188PPI,● 188PPI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 188PPI,● 188PPI,● 188PPI
互联/智能化,コネクティビティ/スマート機能,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応"
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途,● こんにちは、星途
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● デュアルゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS,● Lion OS
