セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5TD 探索,2026年モデル 1.5TD 探索+,2026年モデル 1.5TD DCT 駿馬版 探索+,2026年モデル 2.0TD XWD 発見,2026年モデル 2.0TD XWD 越境,2026年モデル 2.0TD XWD 征服,2026年モデル 2.0TD XWD 悦野,2026年モデル 2.0TD DCT 駿馬版 XWD 発見,2026年モデル 2.0TD DCT 駿馬版 XWD 越境,2025年モデル 1.5TD DCT 探索+ 快適版,2025年モデル 2.0TD DCT 4WD 星際衛士,2025年モデル 2.0TD DCT XWD 発見 快適版,2025年モデル 2.0TD XWD 自動 征服+ 快適版,2025年モデル 1.5TD DCT 2WD 探索,2025年モデル 1.5TD DCT 2WD 探索+,2025年モデル 2.0TD DCT XWD 発見,2025年モデル 2.0TD DCT XWD 越境,2025年モデル 2.0TD DCT XWD 越境+,2025年モデル 2.0TD XWD 自動 悦野,2025年モデル 2.0TD XWD 自動 征服,2025年モデル 2.0TD XWD 自動 征服 ロング版 7人乗り,2025年モデル 2.0TD XWD 自動 征服+,2025年モデル 2.0TD XWD 自動 征服+ ロング版 7人乗り,2025年モデル 2.0T DCT 星月女神,2025年モデル 2.0T 自動 4WD 20万記念版,2025年モデル 2.0TD DCT 4WD 銀龍の翼 Air,2024年モデル 2.0T 4WD 悦野PRO,2024年モデル 2.0T 4WD 越境PRO エンタメ版,2024年モデル 2.0T 4WD 越境PRO+ エンタメ版,2024年モデル 2.0T 4WD 平和精英 戦神版,2023年モデル 1.5T 2WD 発見PRO,2026年モデル 2.0TD XWD 征服 5人乗り,2026年モデル 2.0TD XWD 征服 7人乗り,2026年モデル 2.0TD XWD 征服+ 5人乗り,2026年モデル 2.0TD XWD 征服+ 7人乗り
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,-,●,●,●,-,●,●,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●,-,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,-,●,●,●,-,●,●,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●,-,-,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,●,●,●,-,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,拖挂模式,牽引モード,-,-,-,○,○,●,○,○,○,-,-,○,○,-,-,○,○,○,○,○,○,○,○,-,●,-,-,-,-,-,-,○,○,●,●
四驱/越野,四驱/越野,中央差速器锁止功能,センターデフロック機能,-,-,-,●,●,●,●,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
四驱/越野,四驱/越野,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,-,-,-,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,-,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,-,-,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,-,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック
四驱/越野,四驱/越野,涉水感应系统,渡水感知システム,-,-,-,●,●,●,●,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
四驱/越野,四驱/越野,蠕行模式,クローリングモード,-,-,-,●,●,●,●,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
四驱/越野,四驱/越野,拖挂钩,トレーラーフック,-,-,-,○ マニュアル（2000元）,○ マニュアル（2000元）,● マニュアル,○ マニュアル（2000元）,-,-,-,-,-,○ マニュアル（2000元）,-,-,○ マニュアル（2000元）,○ マニュアル（2000元）,○ マニュアル（2000元）,○ マニュアル（2000元）,○ マニュアル（2000元）,○ マニュアル,○ マニュアル（2000元）,○ マニュアル,○ マニュアル,● マニュアル,-,○ マニュアル,○ マニュアル（2000元）,○ マニュアル（2000元）,-,-,○ マニュアル,○ マニュアル,● マニュアル,● マニュアル
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前／後 ●,前／後 ●,前／後 ●,前／後 ●,前席●／後席●,前席●／後席●,前席●／後席●,前／後 ●,前席●／後席●,前席●／後席●,前席●／後席●,前／後 ●,前席●／後席●,前／後 ●,前席●／後席●,前／後 ●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前／後 ●,前／後 ●,前席●／後席●,前席●／後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,-,● 単眼カメラ,-,-,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 4個,● 5個,● 4個,● 5個,● 4個,● 4個,● 4個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 4個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,● 1個,● 1個,-,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 2個,● 1個,● 2個,● 2個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 4個,● 4個,● 4個,● 4個,● 12個,● 12個,● 12個,● 4個,● 12個,● 8個,● 8個,● 4個,● 12個,● 4個,● 8個,● 4個,● 8個,● 12個,● 8個,● 8個,● 8個,● 12個,● 12個,● 12個,● 12個,● 12個,● 8個,● 8個,● 12個,● 8個,● 8個,● 4個,● 4個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,-,-,-,● 2個,● 2個,● 2個,-,● 2個,● 2個,● 3個,-,● 3個,-,● 2個,-,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,-,-,-,-,-,-,-,-,● 2個,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,-,● レベル2,-,-,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,●,●,●,-,●,●,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●,-,-,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,-,-,-,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,●,●,●,●,●,●,●,●,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●,-,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,-,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,●,●,●,-,●,-,-,-,●,-,-,-,-,●,-,-,-,●,●,●,●,●,-,-,●,●,-,-,-,●,●
驾驶功能,運転機能,循迹倒车,トレースバックリバース,-,-,-,-,●,●,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特長機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● マトリクス式,● マトリクス式,● マトリクス式,-,-,-,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●,●,●,●,●,●,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,-,-,-,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
