セクション,セクション_ja,項目,項目_ja,2026年モデル 565 ライトエディション,2026年モデル 565 プレミアムエディション,2026年モデル 565 スターエディション,2026年モデル 565 コラボレーションエディション,2026年モデル 565 スタークリエイトエディション,2026年モデル 650 超急速充電 ラグジュアリーエディション,2026年モデル 650 超急速充電 プレミアムエディション,2025年モデル 235 増程 プレミアムエディション,2025年モデル 235 増程 ラグジュアリーエディション,2025年モデル 235 増程 エグゼクティブエディション,2025年モデル 235 増程 プレミアムグレード,2025年モデル 235 増程 プレミアムプレステージエディション,2025年モデル 555 スタークリエイトエディション,2025年モデル 565 スタークリエイトエディション,2024年モデル 555 エグゼクティブエディション,2024年モデル 650 エグゼクティブエディション,2024年モデル 555 プレミアムエディション,2024年モデル 555 ラグジュアリーエディション,2024年モデル 650 プレミアムエディション
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS,● 星海OS
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク（コネクテッドカー）,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,●,-,●,●,●,●,-,-,●,●,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,● 前席,-,● 前席,● 前席,● 前席,● 前席,-,-,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,-,-,● 50W,-,● 50W,● 50W,● 50W,● 50W,-,-,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,"○ 合成皮革
● 本革／ファブリックコンビ",● 合成皮革,"○ 合成皮革
● 本革／ファブリックコンビ",● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）","● 前後調整
● リクライニング
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング","● 前後調整
● リクライニング"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ○／助手席 ○,運転席 ●／助手席,運転席 ○／助手席 ○,運転席 ●／助手席,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,運転席 ●／助手席,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"○ 加熱（運転席のみ）
○ ベンチレーション（運転席のみ）",-,"○ 加熱（運転席のみ）
○ ベンチレーション（運転席のみ）",-,"○ 加熱
○ ベンチレーション","● 加熱
● ベンチレーション","● 加熱
● ベンチレーション",-,"● 加熱
● ベンチレーション（運転席のみ）","● 加熱
● ベンチレーション（運転席のみ）","● 加熱
● ベンチレーション（運転席のみ）","● 加熱
● ベンチレーション（運転席のみ）",-,"○ 加熱
○ ベンチレーション","● 加熱
● ベンチレーション（運転席のみ）","● 加熱
● ベンチレーション（運転席のみ）","● 加熱
● ベンチレーション（運転席のみ）","● 加熱
● ベンチレーション（運転席のみ）","● 加熱
● ベンチレーション（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,○ 運転席,● 運転席,○ 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 12スピーカー,● 6スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー,● 6スピーカー,● 6スピーカー,● 12スピーカー,● 12スピーカー,● 6スピーカー,● 12スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,● 64色,-,● 64色,● 64色,● 64色,● 64色,-,-,● 64色,● 64色,● 単色,● 単色,● 64色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,○,○,-,-,-,-,-,○,○,○,-,-,-,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
