セクション,項目,问界M8 2025款 增程 Max版 37kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Max版 37kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Max版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Max版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Max+版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 5座版 (192线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 5座版 (896线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 6座版 (192线激光雷达）,问界M8 2025款 增程 Ultra版 53.4kWh 6座版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 五座长续航版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 五座长续航版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 六座长续航版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 六座长续航版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 五座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 五座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Max+ 六座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Max+ 六座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Ultra 五座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Ultra 五座四驱版 (896线激光雷达）,问界M8 2025款 纯电 Ultra 六座四驱版 (192线激光雷达）,问界M8 2025款 纯电 Ultra 六座四驱版 (896线激光雷达）,问界M8 2026款 增程 基本型 5座,问界M8 2026款 增程 基本型 6座
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙",-,-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,车侧脚踏板,○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),-,-
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,"● 矩阵式
● 像素式","● 矩阵式
● 像素式","● 矩阵式
● 像素式","● 矩阵式
● 像素式",● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,"● 矩阵式
● 像素式","● 矩阵式
● 像素式","● 矩阵式
● 像素式","● 矩阵式
● 像素式",-,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,场景灯语,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,辅助驾驶灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",-,-
天窗/玻璃,后排侧窗遮阳帘,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,-,-
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",-,-
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",-,-
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,-,-
互联/智能化,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,-,-
互联/智能化,副驾娱乐屏尺寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,-,-
互联/智能化,副驾屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,-,-
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,-,-
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩",-,-
互联/智能化,语音助手唤醒词,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,● 小艺小艺,-,-
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,语音分区域唤醒识别,● 四区域,● 六区域,● 四区域,● 四区域,● 六区域,● 四区域,● 六区域,● 六区域,● 四区域,● 四区域,● 六区域,● 六区域,● 四区域,● 四区域,● 六区域,● 六区域,● 四区域,● 四区域,● 六区域,● 六区域,● 四区域,● 四区域,● 六区域,● 六区域,-,-
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,面部识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,声纹识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,车载智能系统,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,-,-
互联/智能化,后排投影系统,-,-,○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),●,●,●,●,○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),○ (2.00万元),●,●,●,●,-,-
互联/智能化,后排控制多媒体,-,-,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,○,○,●,●,●,●,-,-
互联/智能化,多指飞屏操控,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,-,-
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,车内生物监测系统,●,●,-,●,-,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,-,-
