セクション,項目,锐胜M8新能源 2026款 增程版 180尊享型 7座,锐胜M8新能源 2026款 增程版 230尊享型 7座,锐胜M8新能源 2026款 增程版 230尊享型 9座,锐胜M8新能源 2026款 增程版 230尊贵型 7座,锐胜M8新能源 2026款 增程版 230中级营运 7座,锐胜M8新能源 2026款 增程版 230中级营运 9座,锐胜M8新能源 2026款 增程版 230高级营运 7座,锐胜M8新能源 2026款 增程版 230高级营运 9座,锐胜M8新能源 2026款 增程版 230旗舰型 7座,锐胜M8新能源 2026款 增程版 230高级营运旗舰型 7座,锐胜M8新能源 2026款 增程版 230行政版 7座,锐胜M8新能源 2026款 纯电版 505尊享型 7座,锐胜M8新能源 2026款 纯电版 505尊享型 9座,锐胜M8新能源 2026款 纯电版 505中级营运 7座,锐胜M8新能源 2026款 纯电版 560尊享型 7座,锐胜M8新能源 2026款 纯电版 505中级营运 9座,锐胜M8新能源 2026款 纯电版 560尊享型 9座,锐胜M8新能源 2026款 纯电版 560中级营运 7座,锐胜M8新能源 2026款 纯电版 560中级营运 9座,锐胜M8新能源 2026款 纯电版 560高级营运 7座,锐胜M8新能源 2026款 纯电版 560尊贵型 7座,锐胜M8新能源 2026款 纯电版 560高级营运 9座,锐胜M8新能源 2026款 纯电版 560旗舰型 7座,锐胜M8新能源 2026款 纯电版 560高级营运旗舰型 7座,锐胜M8新能源 2026款 纯电版 560行政版 7座,锐胜M8新能源 2026款 改款 纯电版 505盛航版 7座,锐胜M8新能源 2026款 纯电版 505盛航版 7座
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个,● 前排3个/后排6个
车内充电,USB/Type-C最大充电功率,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W
车内充电,220V/230V电源,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,主 ● /副 ●,-,-,-,-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,-,-,-,-,-,-,-,-,主 ● /副 ●,-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,"● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)",-,-,-,-,-,-,-,-,-,-,-,-,"● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)",-,-,-
座椅配置,电动座椅记忆功能,-,-,-,●,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 腿托调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节","● 前后调节
● 靠背调节
● 左右调节"
座椅配置,第二排座椅电动调节,-,-,-,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
座椅配置,第二排座椅功能,-,-,-,-,-,-,-,-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",-,-,-,-,-,-,-,-,-,-,-,-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",-,-,-
座椅配置,后排小桌板,-,-,-,●,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,-
座椅配置,第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第三排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-3,● 2-2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,-,● 比例放倒,● 比例放倒,-,● 比例放倒,-,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,● 比例放倒,● 比例放倒,-,-,● 比例放倒,-,● 比例放倒,● 比例放倒,-,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,● Jamo尊宝,● Jamo尊宝,-,-,-,-,-,-,-,-,-,-,-,-,● Jamo尊宝,● Jamo尊宝,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 11喇叭,● 11喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 11喇叭,● 11喇叭,● 8喇叭,● 8喇叭,● 8喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-
颜色,外观颜色,-,–,-,–,–,-,–,-,–,–,–,–,-,–,–,-,–,–,-,–,–,-,–,–,–,–,–
颜色,内饰颜色,-,–,-,–,–,-,–,-,–,–,–,–,-,–,–,-,–,–,-,–,–,-,–,–,–,–,–
